code,name,signal,support_pct,shrink_max_pct,finance,net_profit,report_end,ma250_status,ma250_close,ma250_value,score,decision,reason
sz000570,苏常柴Ａ,双阴,-9.85,47.1,盈利,50820986.84,2025-12-31,跌破年线(-17.6%),4.76,5.78,57,否决,浅支撑<5%(一票否决)
sz000586,汇源通信,双阴,-2.65,57.2,亏损,-1859005.96,2025-12-31,跌破年线(-29.1%),10.26,14.48,34,否决,亏损股(一票否决)
sz000591,太阳能,一阴,-18.95,180.5,盈利,822649685.21,2025-12-31,跌破年线(-9.5%),4.48,4.95,35,否决,浅支撑<5%(一票否决)
sz000597,东北制药,双阴,-8.49,51.0,盈利,260070456.65,2025-12-31,跌破年线(-10.9%),4.68,5.25,54,否决,浅支撑<5%(一票否决)
sz000719,中原传媒,双阴,-5.39,56.4,盈利,1375648060.55,2025-12-31,年线支撑区(超MA250 1.1%) ★,12.18,12.05,64,否决,浅支撑<5%(一票否决)
sz000762,西藏矿业,双阴,5.32,51.7,亏损,-30211138.32,2025-12-31,跌破年线(-23.8%),20.61,27.05,59,否决,亏损股(一票否决)
sz000889,中嘉博创,双阴,10.39,59.5,亏损,-26466119.15,2025-12-31,年线支撑区(超MA250 0.0%) ★,3.8,3.8,74,否决,亏损股(一票否决)
sz000890,法尔胜,双阴,12.28,56.7,亏损,-67673072.59,2025-12-31,跌破年线(-15.3%),6.22,7.34,64,否决,亏损股(一票否决)
sz000919,金陵药业,双阴,-10.29,23.5,盈利,53914615.13,2025-12-31,跌破年线(-13.6%),6.08,7.04,60,否决,浅支撑<5%(一票否决)
sz000951,中国重汽,双阴,5.54,59.6,盈利,1665800234.13,2025-12-31,年线上方(16.0%),22.0,18.97,86,重仓,双阴+深支撑+盈利+评分≥75 ★
sz000989,九芝堂,双阴,-2.96,49.0,盈利,222602461.73,2025-12-31,跌破年线(-4.7%),8.91,9.35,57,否决,浅支撑<5%(一票否决)
sz000990,诚志股份,双阴,-4.52,47.4,亏损,-78142676.41,2025-12-31,年线上方(6.5%),9.22,8.66,44,否决,亏损股(一票否决)
sz001367,海森药业,双阴,-7.33,33.1,盈利,135879665.78,2025-12-31,跌破年线(-24.7%),17.45,23.18,60,否决,浅支撑<5%(一票否决)
sz002031,巨轮智能,一阴,-10.57,655.4,亏损,-232207856.22,2025-12-31,跌破年线(-35.1%),4.78,7.36,15,否决,亏损股(一票否决)
sz002033,丽江股份,双阴,2.91,31.4,盈利,213476711.14,2025-12-31,跌破年线(-5.5%),8.3,8.78,66,否决,浅支撑<5%(一票否决)
sz002107,沃华医药,双阴,-4.39,30.0,盈利,95715292.65,2025-12-31,跌破年线(-9.0%),6.0,6.59,60,否决,浅支撑<5%(一票否决)
sz002263,大东南,双阴,6.04,44.0,盈利,18462561.96,2025-12-31,跌破年线(-27.4%),2.7,3.72,82,重仓,双阴+深支撑+盈利+评分≥75 ★
sz002333,罗普斯金,双阴,-9.44,29.8,盈利,53332752.65,2025-12-31,跌破年线(-15.3%),4.71,5.56,60,否决,浅支撑<5%(一票否决)
sz002349,精华制药,双阴,-6.76,42.7,盈利,219284778.83,2025-12-31,跌破年线(-9.8%),6.62,7.34,57,否决,浅支撑<5%(一票否决)
sz002418,康盛股份,双阴,-0.25,51.4,盈利,25076347.70,2025-12-31,跌破年线(-32.6%),3.17,4.7,54,否决,浅支撑<5%(一票否决)
sz002565,顺灏股份,双阴,-3.55,48.8,盈利,58939662.02,2025-12-31,跌破年线(-29.3%),8.77,12.41,57,否决,浅支撑<5%(一票否决)
sz002578,闽发铝业,双阴,-10.16,56.4,亏损,-29709522.34,2025-12-31,跌破年线(-28.6%),2.8,3.92,34,否决,亏损股(一票否决)
