code,name,source,support,shrink_max
sz000958,电投产融,auto_双阴,-0.112,0.3428
sz002020,京新药业,auto_一阴,0.0039,2.4778
sz002152,广电运通,auto_一阴,-0.0658,2.1732
sz002191,劲嘉股份,auto_双阴,0.0326,0.435
sz002268,电科网安,auto_一阴,-0.0007,2.326
sz002294,信立泰,auto_一阴,-0.0088,2.5915
sz002601,龙佰集团,auto_双阴,0.124,0.57
sz002605,姚记科技,auto_一阴,-0.0241,2.1936
sh600085,同仁堂,auto_一阴,-0.005,1.9169
sh600120,浙江东方,auto_一阴,0.0286,2.0579
sh600872,中炬高新,auto_一阴,0.0005,1.7538
sh603630,拉芳家化,auto_一阴,0.047,2.2448
sh603859,能科科技,auto_双阴,-0.0136,0.5313
